C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_189.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_189.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_189.jpg, 0, 0, 0, 8.049935E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_289.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_289.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_289.jpg, 0, 0, 0, 7.823012E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_391.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_391.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_391.jpg, 0, 0, 0, 7.932023E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_493.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_493.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_493.jpg, 0, 0, 0, 7.80225E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_595.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_595.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_595.jpg, 0, 0, 0, 7.807829E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_695.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_695.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_695.jpg, 0, 0, 0, 7.796197E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_797.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_797.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_797.jpg, 0, 0, 0, 7.812299E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_898.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_898.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_898.jpg, 0, 0, 0, 7.822969E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_05_998.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_05_998.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_05_998.jpg, 0, 0, 0, 7.828634E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_06_099.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_06_099.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_06_099.jpg, 0, 0, 0, 7.899515E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_06_200.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_06_200.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_06_200.jpg, 0, 0, 0, 7.828027E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_06_303.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_06_303.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_06_303.jpg, 0, 0, 0, 7.955146E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_06_405.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_06_405.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_06_405.jpg, 0, 0, 0, 7.801403E-05
C:\PythonProgs\Linhas\DadosCarro\IMG\center_2019_02_28_13_19_06_507.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\left_2019_02_28_13_19_06_507.jpg, C:\PythonProgs\Linhas\DadosCarro\IMG\right_2019_02_28_13_19_06_507.jpg, 0, 0, 0, 7.787076E-05
